subject_id,frame_paths,n_frames,metadata,ra,dec
3855045,"['data/backyard_worlds/subjects_examined/subject_3855045/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855045/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855045/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855045/frame_03.png']",4,"{'id': '21', 'image0': 'unwise-1342m076.2.4.0.png', 'image1': 'unwise-1342m076.2.4.1.png', 'image2': 'unwise-1342m076.2.4.2.png', 'image3': 'unwise-1342m076.2.4.3.png'}",,
3855046,"['data/backyard_worlds/subjects_examined/subject_3855046/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855046/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855046/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855046/frame_03.png']",4,"{'id': '22', 'image0': 'unwise-1342m076.2.5.0.png', 'image1': 'unwise-1342m076.2.5.1.png', 'image2': 'unwise-1342m076.2.5.2.png', 'image3': 'unwise-1342m076.2.5.3.png'}",,
3855047,"['data/backyard_worlds/subjects_examined/subject_3855047/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855047/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855047/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855047/frame_03.png']",4,"{'id': '23', 'image0': 'unwise-1342m076.2.6.0.png', 'image1': 'unwise-1342m076.2.6.1.png', 'image2': 'unwise-1342m076.2.6.2.png', 'image3': 'unwise-1342m076.2.6.3.png'}",,
3855048,"['data/backyard_worlds/subjects_examined/subject_3855048/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855048/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855048/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855048/frame_03.png']",4,"{'id': '24', 'image0': 'unwise-1342m076.2.7.0.png', 'image1': 'unwise-1342m076.2.7.1.png', 'image2': 'unwise-1342m076.2.7.2.png', 'image3': 'unwise-1342m076.2.7.3.png'}",,
3855049,"['data/backyard_worlds/subjects_examined/subject_3855049/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855049/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855049/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855049/frame_03.png']",4,"{'id': '25', 'image0': 'unwise-1342m076.3.0.0.png', 'image1': 'unwise-1342m076.3.0.1.png', 'image2': 'unwise-1342m076.3.0.2.png', 'image3': 'unwise-1342m076.3.0.3.png'}",,
3855050,"['data/backyard_worlds/subjects_examined/subject_3855050/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855050/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855050/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855050/frame_03.png']",4,"{'id': '26', 'image0': 'unwise-1342m076.3.1.0.png', 'image1': 'unwise-1342m076.3.1.1.png', 'image2': 'unwise-1342m076.3.1.2.png', 'image3': 'unwise-1342m076.3.1.3.png'}",,
3855051,"['data/backyard_worlds/subjects_examined/subject_3855051/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855051/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855051/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855051/frame_03.png']",4,"{'id': '27', 'image0': 'unwise-1342m076.3.2.0.png', 'image1': 'unwise-1342m076.3.2.1.png', 'image2': 'unwise-1342m076.3.2.2.png', 'image3': 'unwise-1342m076.3.2.3.png'}",,
3855052,"['data/backyard_worlds/subjects_examined/subject_3855052/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855052/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855052/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855052/frame_03.png']",4,"{'id': '28', 'image0': 'unwise-1342m076.3.3.0.png', 'image1': 'unwise-1342m076.3.3.1.png', 'image2': 'unwise-1342m076.3.3.2.png', 'image3': 'unwise-1342m076.3.3.3.png'}",,
3855053,"['data/backyard_worlds/subjects_examined/subject_3855053/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855053/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855053/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855053/frame_03.png']",4,"{'id': '29', 'image0': 'unwise-1342m076.3.4.0.png', 'image1': 'unwise-1342m076.3.4.1.png', 'image2': 'unwise-1342m076.3.4.2.png', 'image3': 'unwise-1342m076.3.4.3.png'}",,
3855054,"['data/backyard_worlds/subjects_examined/subject_3855054/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855054/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855054/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855054/frame_03.png']",4,"{'id': '30', 'image0': 'unwise-1342m076.3.5.0.png', 'image1': 'unwise-1342m076.3.5.1.png', 'image2': 'unwise-1342m076.3.5.2.png', 'image3': 'unwise-1342m076.3.5.3.png'}",,
